date_utc,title,url
2023-03-10 21:00:00,SVB closed by regulators – largest US bank failure since 2008,https://www.reuters.com/markets/us/silicon-valley-bank-is-closed-by-regulators-2023-03-10/
2023-03-11 00:00:00,Circle reveals $3.3B exposure to Silicon Valley Bank,https://www.reuters.com/business/crypto-firm-circle-reveals-33-bln-exposure-silicon-valley-bank-2023-03-11/
2023-03-11 04:00:00,USDC breaks dollar peg after Circle's SVB exposure (CNBC),https://www.cnbc.com/2023/03/11/stablecoin-usdc-breaks-dollar-peg-after-firm-reveals-it-has-3point3-billion-in-svb-exposure.html
2023-03-11 08:00:00,Stablecoin USDC breaks peg on Circle SVB exposure (CNN),https://www.cnn.com/2023/03/11/business/stablecoin-circle-silicon-valley-bank/index.html
2023-03-12 20:00:00,Fed announces SVB depositors will be made whole,https://www.federalreserve.gov/newsevents/pressreleases/2023.htm
2023-03-13 12:00:00,USDC regains dollar peg after SVB chaos (CoinDesk),https://www.coindesk.com/business/2023/03/13/usdc-stablecoin-regains-dollar-peg-after-silicon-valley-bank-induced-chaos/
2023-03-13 14:00:00,Bitcoin and USDC rally after US intervenes on SVB (Reuters),https://www.reuters.com/technology/bitcoin-usdc-stablecoin-rally-after-us-intervenes-svb-2023-03-13/
2023-03-13 16:00:00,SVB mess could become stablecoins' problem (TechCrunch),https://techcrunch.com/2023/03/13/usdc-stablecoin-fed-regulation/
2023-03-14 00:00:00,What happened to Silicon Valley Bank (Investopedia),https://www.investopedia.com/what-happened-to-silicon-valley-bank-7368676
2023-03-15 00:00:00,USDC depeg and recovery explained (Investopedia),https://www.investopedia.com/usdc-loses-peg-7254222
2023-03-20 12:00:00,SVB collapse exposes stablecoin cracks – regulation likely (Forbes),https://www.forbes.com/sites/digital-assets/2023/03/20/svb-collapse-exposes-stablecoin-cracks-regulation-likely-for-100-billion-industry/
2023-03-10 22:00:00,Silicon Valley Bank failure – what you need to know (BBC),https://www.bbc.com/news/business-64915616
